AgeNormalized,HeightNormalized,WeightNormalized,Sex,Place of birth,Name,Country,Age,Height,Weight,Gold,Silver,Bronze,Total,Sport,Event
0.326923077,0.382022472,0.137362637,F,UNTY,Wen Hsing Cheng,Taipei (Chinese Taipei ,30,166,61,0,0,0,0,Badminton,"Women's Doubles, Mixed Doubles"
0.173076923,0.539325843,0.516483516,F,TPE ,Wen-Hua Li,Taipei (Chinese Taipei ,22,180,130,0,0,0,0,Athletics,Women's Discus Throw
0.461538462,0.494382022,0.131868132,F,GBR ,Wendy Houvenaghel,Great Britain,37,176,60,0,0,0,0,Cycling - Track,Women's Team Pursuit
0.173076923,0.651685393,0.269230769,M,CHN ,Wenjun Xie,People's Republic of China,22,190,85,0,0,0,0,Athletics,Men's 110m Hurdles
0.5,0.224719101,0.049450549,F,UNAN,Wenling Tan,Italy,39,152,45,0,0,0,0,Table Tennis,Women's Singles
0.230769231,0.516853933,0.181318681,F,CHN ,Wenwen Jiang,People's Republic of China,25,178,69,0,0,0,0,Cycling - Track,Women's Team Pursuit
0.25,0.561797753,0.423076923,F,CHN ,Wenxiu Zhang,People's Republic of China,26,182,113,0,0,0,0,Athletics,Women's Hammer Throw
0.134615385,0.483146067,0.17032967,F,CHN ,Wenyan Song,People's Republic of China,20,175,67,0,0,0,0,Swimming,Women's 200m Freestyle
0.346153846,0.314606742,0.027472527,F,ETH ,Werknesh Kidane,Ethiopia,31,160,41,0,0,0,0,Athletics,"Women's 10,000m"
0.480769231,0.561797753,0.21978022,M,SUI ,Werner Muff,Switzerland,38,182,76,0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, KIAMON"
0.5,0.494382022,0.208791209,M,AUT ,Werner Schlager,Austria,39,176,74,0,0,0,0,Table Tennis,"Men's Singles, Men's Team"
0.192307692,0.685393258,0.252747253,M,BAH ,Wesley Neymour,Bahamas,23,193,82,0,0,0,0,Athletics,Men's 4 x 400m Relay
0.211538462,0.595505618,0.214285714,M,NZL ,Westley Gough,New Zealand,24,185,75,0,0,0,0,Cycling - Track,Men's Team Pursuit
0.269230769,0.516853933,0.379120879,M,NNAM,Whaseung Kim,Republic of Korea,27,178,105,0,0,0,0,Weightlifting,Men's 105kg
0.153846154,0.539325843,0.203296703,M,USA ,Will Claye,United States of America,21,180,73,0,0,0,0,Athletics,"Men's Long Jump, Men's Triple Jump"
0.307692308,0.606741573,0.241758242,M,RSA ,Willem Coertzen,South Africa,29,186,80,0,0,0,0,Athletics,Men's Decathlon
0.211538462,0.629213483,0.203296703,M,RSA ,Willem de Beer,South Africa,24,188,73,0,0,0,0,Athletics,Men's 4 x 400m Relay
0.269230769,0.561797753,0.236263736,M,tein,Willem Viljoen,South Africa,27,182,79,0,0,0,0,Badminton,Men's Doubles
0.211538462,0.550561798,0.181318681,F,NED ,Willemijn Bos,Netherlands,24,181,69,0,0,0,0,Hockey,Women's Hockey
0.269230769,0.494382022,0.28021978,M,MLT ,William Chetcuti,Malta,27,176,87,0,0,0,0,Shooting,Men's Double Trap
0.307692308,0.629213483,0.247252747,M,USA ,William Coleman,United States of America,29,188,81,0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, TWIZZEL"
0.576923077,0.741573034,0.21978022,M,GBR ,William Fox-Pitt,Great Britain,43,198,76,0,1,0,1,Equestrian,"Individual Eventing, Team Eventing, LIONHEART"
0.288461538,0.629213483,0.285714286,M,AUS ,William Godward,Australia,28,188,88,0,0,0,0,Shooting,Men's 10m Air Rifle
0.326923077,0.516853933,0.175824176,M,AUS ,William Henzell,Australia,30,178,68,0,0,0,0,Table Tennis,"Men's Singles, Men's Team"
0.230769231,0.651685393,0.269230769,M,FRA ,William Meynard,France,25,190,85,0,0,0,0,Swimming,Men's 4x100m Freestyle Relay
0.288461538,0.449438202,0.241758242,F,NED ,Willy Kanis,Netherlands,28,172,80,0,0,0,0,Cycling - Track,"Women's Sprint, Women's Keirin, Women's Team Sprint"
0.307692308,0.359550562,0.098901099,F,PER ,Wilma Arizapana,Peru,29,164,54,0,0,0,0,Athletics,Women's Marathon
0.326923077,0.561797753,0.142857143,M,KEN ,Wilson Kipsang Kiprotich,Kenya,30,182,62,0,0,0,0,Athletics,Men's Marathon
0.211538462,0.426966292,0.159340659,M,DOM ,Winder Cuevas,Dominican Republic,24,170,65,0,0,0,0,Athletics,Men's 400m Hurdles
0.173076923,0.561797753,0.21978022,M,Kong,Wing Ki Wong,"Hong Kong, China",22,182,76,0,0,0,0,Badminton,Men's Singles
0.115384615,0.370786517,0.098901099,F,GBR ,Wing Yung Tang,"Hong Kong, China",19,165,54,0,0,0,0,Swimming,Women's 10km Marathon
0.423076923,0.617977528,0.296703297,M,GBR ,Winston Gordon,Great Britain,35,187,90,0,0,0,0,Judo,Men's -90kg
0.346153846,0.337078652,0.153846154,M,ZIM ,Wirimai Juwawo,Zimbabwe,31,162,64,0,0,0,0,Athletics,Men's Marathon
0.269230769,0.483146067,0.093406593,M,TUN ,Wissem Hosni,Tunisia,27,175,53,0,0,0,0,Athletics,Men's Marathon
0.211538462,0.539325843,0.252747253,M,PANG,Witthaya Thamwong,Thailand,24,180,82,0,0,0,0,Archery,Men's Individual
0.192307692,0.348314607,0.104395604,M,N,Won Chol Yun,Democratic People's Republic  of Korea,23,163,55,0,0,0,0,Wrestling,Men's 55kg Greco-Roman
0.134615385,0.516853933,0.208791209,M,KOR ,Wonyong Jung,Republic of Korea,20,178,74,0,0,0,0,Swimming,"Men's 200m Individual Medley, Men's 400m Individual Medley"
0.173076923,0.550561798,0.153846154,M,KOR ,Woojin Hwang,Republic of Korea,22,181,64,0,0,0,0,Modern Pentathlon,Men's Modern Pentathlon
0.134615385,0.359550562,0.06043956,F,PLE ,Woroud Sawalha,Palestine,20,164,47,0,0,0,0,Athletics,Women's 800m
0.134615385,0.539325843,0.225274725,M,NED ,Wouter Brus,Netherlands,20,180,77,0,0,0,0,Athletics,Men's 4 x 100m Relay
0.153846154,0.370786517,0.131868132,M,VEN ,Wuileixis de Jesus Rivas Espinoza,Venezuela,21,165,60,0,0,0,0,Wrestling,Men's 66kg Greco-Roman
0.423076923,0.550561798,0.247252747,M,ESP ,Xabier Fernandez Gaztanaga,Spain,35,181,81,0,0,0,0,Sailing,Men's 49er
0.365384615,0.404494382,0.087912088,M,ECU ,Xavier Moreno,Ecuador,32,168,52,0,0,0,0,Athletics,Men's 50km Race Walk
0.596153846,0.629213483,0.351648352,M,FRA ,Xavier Rohart,France,44,188,100,0,0,0,0,Sailing,Men's Star
0.365384615,0.662921348,0.373626374,M,ESP ,Xavier Valles Trias,Spain,32,191,104,0,0,0,0,Water Polo,Men's Water Polo
0.692307692,0.280898876,0.115384615,F,ghai,Xia Lian Ni,Luxembourg,49,157,57,0,0,0,0,Table Tennis,Women's Singles
0.307692308,0.651685393,0.274725275,M,CHN ,Xiang Liu,People's Republic of China,29,190,86,0,0,0,0,Athletics,Men's 110m Hurdles
0.153846154,0.258426966,0.065934066,F,SIN ,Xiang Wei Jasmine Ser,Singapore,21,155,48,0,0,0,0,Shooting,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
0.211538462,0.595505618,0.450549451,F,CHN ,Xiangrong Liu,People's Republic of China,24,185,118,0,0,0,0,Athletics,Women's Shot Put
0.288461538,0.449438202,0.225274725,M,ubei,Xiaojun Lu,People's Republic of China,28,172,77,1,0,0,1,Weightlifting,Men's 77kg
0.192307692,0.449438202,0.164835165,F,ubei,Xiaoli Wang,People's Republic of China,23,172,66,0,0,0,0,Badminton,Women's Doubles
0.326923077,0.415730337,0.186813187,F,CHN ,Xiaoli Wang,People's Republic of China,30,169,70,0,0,0,0,Sailing,Women's 470
0.211538462,0.471910112,0.159340659,F,ning,Xiaoxia Li,People's Republic of China,24,174,65,1,0,0,1,Table Tennis,"Women's Singles, Women's Team"
0.153846154,0.516853933,0.186813187,M,JIAN,Xiaoxiang Dai,People's Republic of China,21,178,70,0,0,1,1,Archery,"Men's Individual, Men's Team"
0.307692308,0.494382022,0.164835165,F,CHN ,Xiaoxiao Huang,People's Republic of China,29,176,66,0,0,0,0,Athletics,Women's 400m Hurdles
0.230769231,0.337078652,0.104395604,F,CHN ,Xiaoxu Xu,People's Republic of China,25,162,55,0,0,0,0,Hockey,Women's Hockey
0.211538462,0.438202247,0.142857143,F,CHN ,Xiaoyu Liu,People's Republic of China,24,171,62,0,0,0,0,Swimming,Women's 100m Breaststroke
0.173076923,0.752808989,0.340659341,M,CHN ,Xiayan Li,People's Republic of China,22,199,98,0,0,0,0,Swimming,"Men's 100m Breaststroke, Men's 4x100m Medley Relay"
0.230769231,0.370786517,0.087912088,F,CHN ,Xin Liu,People's Republic of China,25,165,52,0,0,0,0,Cycling - Road,Women's Road Race
0.25,0.382022472,0.104395604,F,ning,Xin Wang,People's Republic of China,26,166,55,0,0,0,0,Badminton,Women's Singles
0.038461538,0.483146067,0.120879121,F,CHN ,Xin Xin,People's Republic of China,15,175,58,0,0,0,0,Swimming,Women's 800m Freestyle
0.173076923,0.370786517,0.120879121,F,CGO ,Xing Han,Congo,22,165,58,0,0,0,0,Table Tennis,Women's Singles
0.153846154,0.415730337,0.148351648,M,CHN ,Xing Lan,People's Republic of China,21,169,63,0,0,0,0,Shooting,Men's 50m Rifle 3 Positions
0.288461538,0.483146067,0.230769231,F,CHN ,Xiuli Yang,People's Republic of China,28,175,78,0,0,0,0,Judo,Women's -78kg
0.096153846,0.269662921,0.049450549,F,CHN ,Xiuzhi Lu,People's Republic of China,18,156,45,0,0,0,0,Athletics,Women's 20km Race Walk
0.461538462,0.516853933,0.241758242,M,ANOI,Xuan Vinh Hoang,Vietnam,37,178,80,0,0,0,0,Shooting,"Men's 50m Pistol, Men's 10m Air Pistol"
0.096153846,0.370786517,0.104395604,F,CHN ,Xuanxu Li,People's Republic of China,18,165,55,0,0,1,1,Swimming,"Women's 400m Freestyle, Women's 400m Individual Medley"
0.269230769,0.370786517,0.153846154,F,O SH,Xue Li,France,27,165,64,0,0,0,0,Table Tennis,Women's Singles
0.269230769,0.584269663,0.351648352,F,CHN ,Xuejun Ma,People's Republic of China,27,184,100,0,0,0,0,Athletics,Women's Discus Throw
0.153846154,0.426966292,0.131868132,F,qing,Xuerui Li,People's Republic of China,21,170,60,0,0,0,0,Badminton,Women's Singles
0.173076923,0.325842697,0.120879121,F,ENAN,Xueying Li,People's Republic of China,22,161,58,1,0,0,1,Weightlifting,Women's 58kg
0.288461538,0.505617978,0.241758242,F,CHN ,Xufeng Huang,People's Republic of China,28,177,80,0,0,0,0,Sailing,Women's 470
0.096153846,0.303370787,0.10989011,F,NCHU,Ya-Ting Tan,Taipei (Chinese Taipei ,18,159,56,0,0,0,0,Archery,"Women's Individual, Women's Team"
0.057692308,0.168539326,0,F,CHN ,Yadan Hu,People's Republic of China,16,147,36,0,0,0,0,Diving,Women's 10m Platform
0.288461538,0.337078652,0.115384615,F,COL ,Yadinys Amaris,Colombia,28,162,57,0,0,0,0,Judo,Women's -57kg
0.25,0.292134831,0.087912088,F,ECU ,Yadira Guaman,Ecuador,26,158,52,0,0,0,0,Athletics,Women's 20km Race Walk
0.25,0.303370787,0.10989011,F,CUB ,Yadira Silva,Mexico,26,159,56,0,0,0,0,Table Tennis,Women's Singles
0.230769231,0.382022472,0.164835165,M,co D,Yahel Castillo Huerta,Mexico,25,166,66,0,0,0,0,Diving,"Men's 3m Springboard, Men's Synchronised 3m Springboard"
0.173076923,0.483146067,0.247252747,M,UZB ,Yakhyo Imamov,Uzbekistan,22,175,81,0,0,0,0,Judo,Men's -81kg
0.134615385,0.674157303,0.28021978,M,RUS ,Yakov Toumarkin,Israel,20,192,87,0,0,0,0,Swimming,"Men's 100m Backstroke, Men's 200m Backstroke"
0.5,0.449438202,0.142857143,F,CUB ,Yamile Aldama,Great Britain,39,172,62,0,0,0,0,Athletics,Women's Triple Jump
0.115384615,0.258426966,0.104395604,F,MAS ,Yan Yee Ng,Malaysia,19,155,55,0,0,0,0,Diving,Women's 3m Springboard
0.115384615,0.359550562,0.054945055,F,UKR ,Yana Belomoyna,Ukraine,19,164,46,0,0,0,0,Cycling - Mountain Bike,Women's Cross-country
